YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,PS,WS2M,WD2M,WS10M,WD10M,RH2M,T2MWET,T2MDEW,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,TOA_SW_DWN
2022,11,2,8,13.14,0,7.63,101.68,1.53,351.79,3.01,349.54,81.94,11.64,10.15,0.73,1.13,1.11,2.63,0.25,1.67
2022,11,2,9,15.83,0,7.51,101.7,1.81,11.7,3.64,10.25,67.81,12.87,9.9,1.7,1.64,1.63,3.01,0.27,2.27
2022,11,2,10,17.64,0,7.2,101.71,1.68,24.18,3.51,22.23,58.12,13.48,9.32,2.6,1.98,1.96,3.19,0.28,2.66
2022,11,2,11,18.88,0,7.08,101.69,1.41,29.12,3.03,26.63,52.94,13.98,9.08,3.1,2.14,2.12,3.32,0.26,2.82
2022,11,2,12,19.75,0,7.02,101.65,1.14,32.17,2.49,29.14,49.81,14.37,8.98,2.83,2.06,2.05,3.3,0.26,2.72
2022,11,2,13,20.26,0,7.02,101.61,0.92,36.38,1.97,32.37,47.94,14.58,8.89,2,1.77,1.75,3.2,0.23,2.39
2022,11,2,14,20.4,0,6.96,101.58,0.72,42.36,1.56,36.87,47.38,14.62,8.83,0.98,1.29,1.27,2.96,0.2,1.83
2022,11,2,15,20.08,0,7.32,101.6,0.49,49.5,1.12,41.6,50.75,14.82,9.56,0.23,0.68,0.66,2.32,0.17,1.09
2022,11,2,16,18.23,0,7.45,101.63,0.6,48.67,1.07,45.89,57.81,14.01,9.78,0.02,0.12,0.1,1.04,0.06,0.26
2022,11,2,17,16.92,0,6.41,101.67,0.71,54.9,1.12,51.53,54.25,12.29,7.65,0,0,0,0,0,0
2022,11,2,18,15.91,0,6.41,101.72,0.71,54.9,1.21,49.44,57.56,11.74,7.57,0,0,0,0,0,0
2022,11,2,19,15.06,0,6.41,101.75,0.65,49.4,1.22,42.4,60.75,11.31,7.55,0,0,0,0,0,0
2022,11,2,20,14.21,0,6.35,101.77,0.58,39.02,1.19,33.79,63.69,10.83,7.46,0,0,0,0,0,0
2022,11,2,21,13.31,0,6.35,101.8,0.59,24.19,1.25,25.12,67.44,10.38,7.44,0,0,0,0,0,0
2022,11,2,22,12.13,0,6.35,101.83,0.65,14.53,1.42,20.22,72.94,9.79,7.45,0,0,0,0,0,0
2022,11,2,23,11.03,0,6.35,101.84,0.68,16.76,1.58,24.16,78.5,9.24,7.46,0,0,0,0,0,0
2022,11,3,0,10.21,0,6.29,101.85,0.62,28.5,1.58,33.69,82.56,8.81,7.4,0,0,0,0,0,0
2022,11,3,1,9.55,0,6.29,101.88,0.62,47.05,1.57,46.01,86.31,8.47,7.4,0,0,0,0,0,0
2022,11,3,2,8.87,0,6.35,101.91,0.63,61.22,1.58,55.68,90.62,8.15,7.44,0,0,0,0,0,0
2022,11,3,3,7.98,0,6.41,101.94,0.7,68.32,1.69,62.84,97.56,7.79,7.6,0,0,0,0,0,0
2022,11,3,4,7.47,0,6.59,101.97,0.79,74.6,1.84,69.33,100,7.7,7.94,0,0,0,0,0,0
2022,11,3,5,7.04,0,6.71,102,0.86,79,1.97,73.87,100,7.67,8.3,0,0,0,0,0,0
2022,11,3,6,7.12,0,6.9,102.01,0.88,82.87,1.97,78.11,100,7.86,8.58,0,0.04,0.04,0.49,0.03,0.11
2022,11,3,7,8.92,0,7.08,102.04,0.77,85.33,1.87,81.33,100,8.94,8.95,0.12,0.49,0.5,1.97,0.15,0.87
2022,11,3,8,11.86,0,7.45,102.06,0.77,97.56,1.34,96.38,87.81,10.83,9.8,0.73,1.11,1.11,2.75,0.21,1.65
2022,11,3,9,14.49,0,7.75,102.04,0.7,123.16,1.17,129.02,76.81,12.46,10.42,1.73,1.63,1.63,3.14,0.21,2.25
2022,11,3,10,16.79,0,7.75,102.02,0.69,148.82,1.39,156.17,66.19,13.61,10.43,2.62,1.97,1.94,3.29,0.23,2.64
2022,11,3,11,18.32,0,7.63,101.98,0.79,159.04,1.75,167.39,59.12,14.26,10.2,3.12,2.13,2.12,3.41,0.21,2.8
2022,11,3,12,18.9,0,7.57,101.9,0.9,162.82,2.02,169.99,56.5,14.49,10.08,2.88,2.06,2.04,3.37,0.23,2.7
2022,11,3,13,19.04,0,7.51,101.85,0.98,165.74,2.24,171.56,55.31,14.46,9.89,2.02,1.76,1.75,3.24,0.22,2.37
2022,11,3,14,18.69,0,7.45,101.83,1.01,167.47,2.29,172.56,56.44,14.28,9.87,0.98,1.29,1.27,3.01,0.19,1.81
2022,11,3,15,17.76,0,7.69,101.83,0.93,167.37,2.12,170.88,61.75,14.05,10.34,0.23,0.67,0.66,2.36,0.16,1.07
2022,11,3,16,14.94,0,8.18,101.84,0.67,166.45,1.81,168.3,78.12,13.06,11.19,0.02,0.11,0.1,1.07,0.06,0.24
2022,11,3,17,12.04,0,7.57,101.85,0.88,168.79,2.35,170.41,88.06,11.09,10.14,0,0,0,0,0,0
2022,11,3,18,11.42,0,7.69,101.86,0.98,170.84,2.49,172.43,92.62,10.86,10.29,0,0,0,0,0,0
2022,11,3,19,10.69,0,7.81,101.84,0.98,172.19,2.46,174.53,99.38,10.65,10.61,0,0,0,0,0,0
2022,11,3,20,9.94,0,8.06,101.84,0.96,174.85,2.36,177.54,100,10.46,10.98,0,0,0,0,0,0
2022,11,3,21,9.44,0,8.24,101.83,0.93,180.48,2.24,184,100,10.39,11.33,0,0,0,0,0,0
2022,11,3,22,9.29,0,8.36,101.83,0.99,189.09,2.25,192.25,100,10.4,11.51,0,0,0,0,0,0
2022,11,3,23,9.35,0,8.36,101.82,1.05,195.48,2.21,198.37,100,10.44,11.51,0,0,0,0,0,0
2022,11,4,0,9.63,0,8.36,101.8,1.1,201.65,2.09,204.27,100,10.57,11.5,0,0,0,0,0,0
2022,11,4,1,9.94,0,8.36,101.81,1.05,207.52,1.85,209.8,100,10.7,11.47,0,0,0,0,0,0
2022,11,4,2,10.23,0,8.3,101.81,0.96,213.69,1.61,215.93,100,10.82,11.41,0,0,0,0,0,0
2022,11,4,3,10.5,0,8.3,101.81,0.91,215.88,1.47,218.09,100,10.92,11.34,0,0,0,0,0,0
2022,11,4,4,10.42,0,8.24,101.81,0.85,212.67,1.38,215.31,100,10.8,11.19,0,0,0,0,0,0
2022,11,4,5,10.26,0,8.12,101.83,0.81,217.2,1.33,219.29,100,10.62,11,0,0,0,0,0,0
2022,11,4,6,10.15,0,8,101.86,0.76,227.92,1.24,229.36,100,10.46,10.77,0,0.04,0.03,0.32,0.03,0.1
2022,11,4,7,10.94,0,8,101.9,0.51,230.65,0.96,232.29,99.94,10.9,10.84,0.12,0.42,0.47,1.4,0.18,0.85
2022,11,4,8,13.12,0,8.48,101.93,0.39,207.6,0.84,212.8,91.25,12.4,11.66,0.67,0.93,1.08,1.8,0.35,1.63
2022,11,4,9,15.44,0,8.97,101.93,0.5,200.14,1.08,201.19,83.38,14.02,12.6,1.62,1.39,1.57,1.59,0.68,2.23
2022,11,4,10,18.13,0,9.34,101.91,0.79,210.87,1.95,212.42,73,15.67,13.21,2.48,1.68,1.9,2.21,0.53,2.62
2022,11,4,11,19.69,0,9.4,101.87,1.07,216.37,2.62,217.01,66.62,16.5,13.31,2.95,1.94,2.01,2.49,0.55,2.77
2022,11,4,12,20.37,0,9.4,101.78,1.25,217.16,3.01,216.45,63.94,16.84,13.32,2.67,1.85,1.93,2.55,0.47,2.68
2022,11,4,13,20.6,0,9.46,101.71,1.3,216.94,3.09,216.14,63.25,16.99,13.39,1.9,1.55,1.64,2.25,0.5,2.35
2022,11,4,14,20.45,0,9.52,101.67,1.25,214.09,2.99,213.07,64.38,16.98,13.51,0.75,0.99,0.97,1.72,0.38,1.79
2022,11,4,15,19.76,0,9.77,101.64,1.1,204.21,2.64,203.91,68.75,16.83,13.88,0.23,0.61,0.61,1.87,0.21,1.06
2022,11,4,16,17.34,0,10.07,101.62,0.72,187.51,2.08,189.29,82.38,15.83,14.33,0.02,0.09,0.08,0.46,0.07,0.23
2022,11,4,17,14.8,0,9.83,101.62,0.8,177.75,2.4,180.93,94.69,14.38,13.97,0,0,0,0,0,0
2022,11,4,18,14.52,0,10.07,101.62,0.94,170.93,2.56,174.92,98.62,14.42,14.32,0,0,0,0,0,0
2022,11,4,19,14.21,0,10.25,101.62,0.98,166.18,2.65,169.29,100,14.42,14.64,0,0,0,0,0,0
2022,11,4,20,14.08,0,10.38,101.59,1.07,168.61,2.69,169.8,100,14.43,14.78,0,0,0,0,0,0
2022,11,4,21,14.36,0,10.44,101.57,1.21,175.94,2.86,174.51,100,14.62,14.9,0,0,0,0,0,0
2022,11,4,22,14.35,0,10.5,101.54,1.33,184.37,2.94,181.83,100,14.66,14.98,0,0,0,0,0,0
2022,11,4,23,14.18,0,10.5,101.51,1.31,190.3,2.87,187.67,100,14.57,14.96,0,0,0,0,0,0
2022,11,5,0,14.3,0,10.5,101.5,1.36,195.72,3.03,193.89,100,14.65,15.01,0,0,0,0,0,0
2022,11,5,1,13.76,0,10.44,101.48,1.11,197.16,2.62,195.73,100,14.3,14.85,0,0,0,0,0,0
2022,11,5,2,13.46,0,10.31,101.48,1.08,195.04,2.54,194.08,100,14.11,14.75,0,0,0,0,0,0
2022,11,5,3,14.07,0,10.38,101.5,1.22,199.01,2.9,198.73,100,14.44,14.81,0,0,0,0,0,0
2022,11,5,4,14.89,0,10.5,101.54,1.35,207.9,3.28,207.97,100,14.97,15.04,0,0,0,0,0,0
2022,11,5,5,15.27,0,10.62,101.55,1.38,211.08,3.23,210.16,99.38,15.23,15.19,0,0,0,0,0,0
2022,11,5,6,15.17,0,10.62,101.55,1.24,209.48,2.93,206.91,99.69,15.16,15.15,0,0.03,0.03,0.12,0.03,0.09
2022,11,5,7,15.94,0,10.8,101.56,1.43,206.71,3.2,204.5,96.69,15.69,15.44,0.12,0.35,0.43,1.02,0.18,0.83
2022,11,5,8,17.37,0,11.23,101.57,1.65,201.95,3.54,200.79,91.81,16.71,16.05,0.83,0.92,1.01,1.56,0.42,1.61
2022,11,5,9,19.08,0,11.6,101.53,1.71,194.29,3.72,193.25,85.19,17.83,16.56,1.88,1.45,1.49,2.36,0.4,2.21
2022,11,5,10,20.78,0,11.72,101.48,1.95,187.38,4.29,186.7,77.38,18.75,16.71,2.73,1.59,1.82,1.94,0.58,2.6
2022,11,5,11,21.87,0,11.6,101.43,2.22,185.65,4.91,185.47,71.56,19.2,16.53,3.27,1.81,1.93,1.6,0.93,2.75
2022,11,5,12,22.21,0,11.41,101.36,2.39,185.26,5.29,185.09,69.06,19.26,16.3,2.7,1.51,1.85,1.83,0.54,2.66
2022,11,5,13,21.98,0,11.29,101.32,2.4,184.1,5.35,183.6,69.31,19.05,16.12,1.92,1.34,1.57,1.92,0.45,2.33
2022,11,5,14,21.37,0,11.35,101.29,2.28,179.61,5.11,179.12,72,18.75,16.14,1.02,1.1,1.12,2.15,0.33,1.77
2022,11,5,15,20.34,0,11.47,101.28,2.05,173.23,4.61,172.69,77.69,18.35,16.35,0.25,0.54,0.56,1.34,0.26,1.04
2022,11,5,16,18.95,0,11.66,101.28,1.77,172.66,4.07,170.95,85.88,17.76,16.56,0.02,0.08,0.07,0.44,0.07,0.22
2022,11,5,17,17.73,0,11.66,101.32,1.69,176.29,3.9,172.97,92.94,17.15,16.58,0,0,0,0,0,0
2022,11,5,18,17.14,0,11.66,101.35,1.65,174.56,3.72,170.32,96.44,16.87,16.59,0,0,0,0,0,0
2022,11,5,19,16.86,0,11.6,101.35,1.58,168.86,3.56,165.38,97.56,16.68,16.5,0,0,0,0,0,0
2022,11,5,20,16.68,0,11.47,101.34,1.64,166.49,3.67,163.92,98,16.53,16.38,0,0,0,0,0,0
2022,11,5,21,16.55,0,11.41,101.33,1.7,167.5,3.75,165.04,98.06,16.4,16.26,0,0,0,0,0,0
2022,11,5,22,16.51,0,11.35,101.32,1.81,172.05,3.9,168.69,97.69,16.35,16.18,0,0,0,0,0,0
2022,11,5,23,16.51,0,11.29,101.31,1.87,174.48,4.06,172.15,97.38,16.3,16.11,0,0,0,0,0,0
2022,11,6,0,16.8,0,11.29,101.31,2.24,181,4.78,179.63,95.5,16.45,16.11,0,0,0,0,0,0
2022,11,6,1,16.82,0,11.35,101.32,2.22,183.64,4.71,182.09,95.69,16.49,16.15,0,0,0,0,0,0
2022,11,6,2,16.7,0,11.35,101.33,2.1,185.56,4.47,183.91,96.81,16.46,16.22,0,0,0,0,0,0
2022,11,6,3,16.62,0,11.41,101.35,1.95,189.2,4.28,187.97,97.5,16.44,16.25,0,0,0,0,0,0
2022,11,6,4,16.61,0,11.41,101.37,1.85,193.92,4.13,192.25,97.69,16.44,16.27,0,0,0,0,0,0
2022,11,6,5,16.63,0,11.41,101.38,1.78,197.88,4.02,195.33,97.62,16.45,16.27,0,0,0,0,0,0
2022,11,6,6,16.43,0,11.41,101.38,1.58,197.9,3.53,193.45,98.62,16.33,16.23,0,0.03,0.02,0.14,0.03,0.08
2022,11,6,7,16.84,0.02,11.41,101.39,1.65,196.21,3.62,191.33,96.44,16.58,16.3,0.12,0.28,0.43,0.33,0.22,0.82
2022,11,6,8,17.87,0.03,11.72,101.41,1.79,193.37,3.75,188.5,92.69,17.28,16.69,0.77,0.74,1.01,0.86,0.46,1.59
2022,11,6,9,19.05,0.05,12.08,101.4,1.81,191.21,3.91,188.84,88.81,18.12,17.19,1.73,1.17,1.5,1.25,0.62,2.19
2022,11,6,10,20.23,0.07,12.33,101.38,2.03,192.65,4.46,191.92,84.19,18.86,17.5,2.65,1.41,1.83,0.94,0.92,2.58
2022,11,6,11,20.96,0.08,12.45,101.35,2.17,193.74,4.72,193.39,81.12,19.3,17.62,2.88,1.3,1.92,0.42,1.07,2.73
2022,11,6,12,21.33,0.07,12.51,101.3,2.21,194.13,4.79,193.76,79.5,19.51,17.67,2.52,1.2,1.84,0.45,0.96,2.64
2022,11,6,13,21.48,0.06,12.51,101.25,2.2,193.35,4.76,192.9,78.94,19.6,17.71,1.75,0.96,1.56,0.35,0.8,2.31
2022,11,6,14,21.19,0.1,12.57,101.24,2.13,190.77,4.61,189.75,80.75,19.48,17.78,0.85,0.64,1.11,0.31,0.53,1.75
2022,11,6,15,20.49,0.15,12.7,101.23,2.02,184.87,4.38,183.68,85,19.2,17.9,0.23,0.37,0.55,0.46,0.28,1.02
2022,11,6,16,19.31,0.05,12.7,101.23,1.81,179.01,4.01,177.66,91.44,18.6,17.9,0.02,0.06,0.07,0.21,0.05,0.2
2022,11,6,17,18.23,0.01,12.45,101.24,1.74,178.46,3.87,176.87,96.19,17.93,17.62,0,0,0,0,0,0
2022,11,6,18,17.76,0.01,12.21,101.26,1.69,181.86,3.66,179.27,97.19,17.55,17.33,0,0,0,0,0,0
2022,11,6,19,17.44,0.01,12.02,101.26,1.7,185.27,3.65,182.57,97.5,17.25,17.06,0,0,0,0,0,0
2022,11,6,20,17.19,0.01,11.84,101.25,1.65,188.97,3.62,186.7,97.75,17.01,16.85,0,0,0,0,0,0
2022,11,6,21,16.94,0.01,11.72,101.22,1.62,190.82,3.6,188.73,98.19,16.8,16.67,0,0,0,0,0,0
2022,11,6,22,16.79,0.01,11.66,101.21,1.62,192.83,3.59,191.55,98.44,16.67,16.56,0,0,0,0,0,0
2022,11,6,23,16.71,0.01,11.6,101.21,1.57,196.18,3.53,194.87,98.56,16.62,16.51,0,0,0,0,0,0
2022,11,7,0,17.04,0.01,11.66,101.21,1.95,204.41,4.16,202.08,97,16.81,16.58,0,0,0,0,0,0
2022,11,7,1,17.3,0.01,11.72,101.21,2.12,209.88,4.46,208.23,96.06,16.99,16.69,0,0,0,0,0,0
2022,11,7,2,17.45,0.01,11.84,101.2,2.08,211.96,4.36,211.07,96,17.15,16.84,0,0,0,0,0,0
2022,11,7,3,17.64,0.02,11.96,101.17,2.18,216.42,4.53,216.38,95.62,17.3,16.96,0,0,0,0,0,0
2022,11,7,4,17.76,0.03,12.02,101.17,2.04,225.31,4.33,225.95,95.56,17.42,17.08,0,0,0,0,0,0
2022,11,7,5,17.74,0.05,12.08,101.18,1.8,232.23,3.84,234.18,96.06,17.44,17.13,0,0,0,0,0,0
2022,11,7,6,17.53,0.05,12.08,101.2,1.46,239.46,3.22,241.88,97.25,17.33,17.12,0,0.02,0.02,0.07,0.02,0.08
2022,11,7,7,17.69,0.02,12.15,101.23,1.31,246.49,2.9,247.71,96.75,17.44,17.19,0.12,0.36,0.39,1.21,0.17,0.8
2022,11,7,8,19.08,0,12.51,101.26,1.31,252,2.86,254.98,91.5,18.38,17.69,0.73,0.92,0.95,2.03,0.28,1.57
2022,11,7,9,20.96,0,12.02,101.26,1.39,262.91,3.17,268.59,78.5,19,17.03,1.75,1.45,1.44,2.64,0.3,2.17
2022,11,7,10,22,0,9.83,101.26,1.55,282.22,3.67,286.58,60.19,17.85,13.69,2.65,1.76,1.77,2.81,0.31,2.56
2022,11,7,11,22.39,0,8.24,101.25,1.64,295.71,3.87,296.88,49.31,16.76,11.13,2.5,1.73,1.71,2.27,0.49,2.71
2022,11,7,12,22.47,0,7.51,101.21,1.65,302.26,3.86,301.18,44.81,16.18,9.88,2.88,1.88,1.87,3.07,0.27,2.62
2022,11,7,13,22.35,0,7.39,101.17,1.59,304.39,3.72,302.39,44.38,16,9.64,2.02,1.61,1.6,2.99,0.25,2.29
2022,11,7,14,21.9,0,7.39,101.16,1.49,305.61,3.57,303.03,45.56,15.76,9.6,0.98,1.17,1.15,2.73,0.22,1.73
2022,11,7,15,20.71,0,7.57,101.2,1.24,307.81,3.15,305.31,50.19,15.29,9.86,0.2,0.58,0.57,2.01,0.18,1
2022,11,7,16,18.09,0,7.32,101.28,1.07,312.92,2.98,310.63,57.19,13.73,9.37,0.02,0.08,0.07,0.8,0.05,0.19
2022,11,7,17,15.61,0,6.35,101.36,1.25,320.56,3.32,318.24,58.12,11.47,7.33,0,0,0,0,0,0
2022,11,7,18,14.46,0,5.62,101.44,1.46,328.09,3.63,326.41,55.5,10.03,5.61,0,0,0,0,0,0
2022,11,7,19,13.37,0,5.13,101.53,1.61,334.68,3.92,333.33,54.19,8.83,4.27,0,0,0,0,0,0
2022,11,7,20,12.16,0,4.82,101.63,1.64,339.41,3.94,337.86,55.31,7.8,3.44,0,0,0,0,0,0
2022,11,7,21,11.07,0,4.64,101.73,1.68,341.57,3.87,339.66,57.19,6.99,2.9,0,0,0,0,0,0
2022,11,7,22,10.07,0,4.52,101.8,1.67,342.25,3.81,339.75,59.88,6.34,2.62,0,0,0,0,0,0
2022,11,7,23,9.43,0,4.46,101.87,1.77,342.77,4.08,340.42,61.5,5.91,2.39,0,0,0,0,0,0
2022,11,8,0,8.75,0,4.46,101.93,1.79,342.51,4.1,340.63,64.44,5.58,2.41,0,0,0,0,0,0
2022,11,8,1,8.16,0,4.46,102.01,1.82,342.81,4.12,341.32,67.31,5.31,2.45,0,0,0,0,0,0
2022,11,8,2,7.7,0,4.46,102.06,1.85,345.08,4.12,343.83,69.06,5.04,2.37,0,0,0,0,0,0
2022,11,8,3,7.15,0,4.39,102.11,1.69,346.61,3.83,345,70.94,4.68,2.2,0,0,0,0,0,0
2022,11,8,4,6.6,0,4.33,102.16,1.54,346.81,3.53,344.49,72.56,4.3,1.99,0,0,0,0,0,0
2022,11,8,5,5.95,0,4.27,102.23,1.36,343.33,3.15,339.81,75.5,3.94,1.94,0,0,0,0,0,0
2022,11,8,6,5.33,0,4.33,102.28,1.28,336.57,2.91,332.2,79.25,3.66,2.01,0,0.03,0.02,0.21,0.03,0.07
2022,11,8,7,6.04,0,4.33,102.34,1.5,333.7,3.16,329.25,76,4.08,2.11,0.1,0.43,0.44,1.53,0.19,0.78
2022,11,8,8,8.21,0,4.21,102.39,2.02,340.38,3.99,337.66,63.31,4.93,1.65,0.67,1.06,1.03,2.57,0.26,1.55
2022,11,8,9,9.9,0,3.85,102.38,2.51,350.86,5.08,349.28,52,5.2,0.5,1.7,1.61,1.58,3.21,0.23,2.15
2022,11,8,10,11.05,0,3.66,102.38,2.54,352.94,5.16,351.82,45.69,5.4,-0.24,2.6,1.94,1.92,3.29,0.26,2.54
2022,11,8,11,12.19,0,3.54,102.35,2.51,354.82,5.12,353.96,40.69,5.69,-0.79,3.08,2.09,2.07,3.45,0.23,2.69
2022,11,8,12,13,0,3.42,102.32,2.5,357.85,5.11,356.67,37.62,5.94,-1.13,2.83,2.01,2,3.42,0.23,2.6
2022,11,8,13,13.45,0,3.36,102.31,2.45,0,4.99,358.83,36,6.06,-1.33,1.98,1.72,1.7,3.3,0.22,2.27
2022,11,8,14,13.44,0,3.36,102.32,2.35,2.29,4.78,0.94,35.88,6.04,-1.37,0.92,1.25,1.23,3.05,0.2,1.72
2022,11,8,15,12.81,0,3.42,102.37,2.11,4.46,4.33,3.11,38.19,5.86,-1.1,0.2,0.63,0.62,2.38,0.16,0.98
2022,11,8,16,10.77,0,3.72,102.42,1.55,5.8,3.39,4.9,47.38,5.39,0.01,0.02,0.09,0.08,1.02,0.05,0.18
2022,11,8,17,8.33,0,3.78,102.48,1.47,7.01,3.29,6.69,57.12,4.33,0.33,0,0,0,0,0,0
2022,11,8,18,7.41,0,3.85,102.55,1.47,7.31,3.26,7.02,61.38,3.94,0.46,0,0,0,0,0,0
2022,11,8,19,6.68,0,3.85,102.61,1.48,8.17,3.31,7.33,64.44,3.56,0.44,0,0,0,0,0,0
2022,11,8,20,6.04,0,3.78,102.65,1.52,10.96,3.38,9.7,66.56,3.15,0.27,0,0,0,0,0,0
2022,11,8,21,5.4,0,3.72,102.71,1.59,14.24,3.49,12.82,68.12,2.7,0,0,0,0,0,0,0
2022,11,8,22,4.81,0,3.66,102.76,1.72,16.62,3.62,15.27,69.69,2.27,-0.26,0,0,0,0,0,0
2022,11,8,23,4.15,0,3.6,102.79,1.78,18.99,3.63,17.03,71.81,1.84,-0.47,0,0,0,0,0,0
2022,11,9,0,3.51,0,3.54,102.8,1.7,20.68,3.49,18.15,74.19,1.43,-0.65,0,0,0,0,0,0
2022,11,9,1,2.96,0,3.48,102.81,1.61,22.21,3.32,19.5,76.56,1.1,-0.75,0,0,0,0,0,0
2022,11,9,2,2.48,0,3.48,102.8,1.53,25.12,3.17,22.01,79.06,0.84,-0.78,0,0,0,0,0,0
2022,11,9,3,2.05,0,3.48,102.79,1.45,27.26,3.03,23.86,81.62,0.64,-0.77,0,0,0,0,0,0
2022,11,9,4,1.68,0,3.48,102.79,1.4,29.71,2.93,26.09,82.69,0.37,-0.94,0,0,0,0,0,0
2022,11,9,5,1.3,0,3.42,102.81,1.34,32.57,2.79,28.65,83.75,0.09,-1.12,0,0,0,0,0,0
2022,11,9,6,0.93,0,3.42,102.84,1.26,35.37,2.63,30.91,85.75,-0.12,-1.17,0,0.03,0.02,0.14,0.03,0.06
2022,11,9,7,1.94,0,3.48,102.88,1.28,38.82,2.58,33.02,81.31,0.52,-0.9,0.1,0.4,0.4,1.3,0.2,0.76
